Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated,Drought_Extent_Peak(%),Drought_Extent_Union(%),Station_Event_Count_Total,Station_Event_Count_Light,Station_Event_Count_Moderate,Station_Event_Count_Severe,Station_Event_Count_Extreme
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,2,2025-02-08,2025-02-21,14,-0.8600645065307617,-0.5567774176597595,2025-02-18,2025-02-12,10.310466349124908,Light,1,False,99.14,100.0,7,1,3,2,1
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,3,2025-02-23,2025-03-02,8,-1.1882526874542236,-0.6753677725791931,2025-02-28,2025-02-23,8.231748223304749,Moderate,2,False,98.07,100.0,7,1,3,2,1
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,4,2025-04-12,2025-04-20,9,-1.366067886352539,-0.5318072438240051,2025-04-16,2025-04-20,9.339582026004791,Moderate,2,False,86.51,93.83,7,1,3,2,1
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,5,2025-06-21,2025-07-26,36,-1.5810788869857788,-0.7141591310501099,2025-06-27,2025-06-22,41.1191428899765,Severe,3,False,97.53,99.57,7,1,3,2,1
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,6,2025-08-12,2025-09-12,32,-2.336613178253174,-1.0807716846466064,2025-08-23,2025-09-12,57.857635140419006,Extreme,4,False,43.39,98.39,7,1,3,2,1
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,7,2025-12-10,2025-12-31,22,-1.4091707468032837,-0.7359597682952881,2025-12-30,2025-12-20,21.38706260919571,Moderate,2,True,87.49,92.81,7,1,3,2,1
95332229.0,117.8937625,27.86000655,117.875,27.875,1,2025-01-01,2025-02-05,36,-1.814688801765442,-0.9247483611106873,2025-01-31,2025-02-05,50.63849425315857,Severe,3,True,98.8,100.0,8,2,4,1,1
95332229.0,117.8937625,27.86000655,117.875,27.875,2,2025-02-07,2025-02-21,15,-0.8813818097114563,-0.5222426652908325,2025-02-14,2025-02-07,10.289737582206726,Light,1,False,81.05,100.0,8,2,4,1,1
95332229.0,117.8937625,27.86000655,117.875,27.875,3,2025-02-24,2025-03-02,7,-1.1766791343688965,-0.8903255462646484,2025-02-24,2025-03-02,7.162411868572235,Moderate,2,False,94.13,100.0,8,2,4,1,1
95332229.0,117.8937625,27.86000655,117.875,27.875,4,2025-04-02,2025-04-09,8,-0.909740686416626,-0.5081905126571655,2025-04-03,2025-04-09,5.744939625263214,Light,1,False,92.75,94.04,8,2,4,1,1
95332229.0,117.8937625,27.86000655,117.875,27.875,5,2025-04-13,2025-04-19,7,-1.3929176330566406,-0.5649742484092712,2025-04-13,2025-04-19,8.161056697368622,Moderate,2,False,92.65,93.49,8,2,4,1,1
95332229.0,117.8937625,27.86000655,117.875,27.875,6,2025-06-21,2025-07-29,39,-1.3544042110443115,-0.5086396336555481,2025-07-19,2025-07-29,37.44867950677872,Moderate,2,False,23.87,99.57,8,2,4,1,1
95332229.0,117.8937625,27.86000655,117.875,27.875,7,2025-08-12,2025-09-12,32,-2.1005795001983643,-0.5447860360145569,2025-09-03,2025-08-12,44.885386288166046,Extreme,4,False,92.11,98.39,8,2,4,1,1
95332229.0,117.8937625,27.86000655,117.875,27.875,8,2025-12-10,2025-12-31,22,-1.3715463876724243,-0.7103878259658813,2025-12-10,2025-12-25,21.96466100215912,Moderate,2,True,38.04,92.81,8,2,4,1,1
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,1,2025-01-01,2025-02-05,36,-1.8582279682159424,-0.6631510257720947,2025-01-31,2025-01-16,43.31151866912842,Severe,3,True,98.8,100.0,7,1,3,2,1
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,2,2025-02-08,2025-02-21,14,-0.9253191351890564,-0.6164587140083313,2025-02-18,2025-02-12,10.902070760726929,Light,1,False,99.14,100.0,7,1,3,2,1
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,3,2025-02-23,2025-03-02,8,-1.2123217582702637,-0.8263102769851685,2025-02-28,2025-02-23,8.59898066520691,Moderate,2,False,98.07,100.0,7,1,3,2,1
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,4,2025-04-13,2025-04-18,6,-1.19656240940094,-1.137719750404358,2025-04-13,2025-04-17,6.990978717803955,Moderate,2,False,92.65,93.49,7,1,3,2,1
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,5,2025-06-21,2025-07-20,30,-1.696230173110962,-0.8429895043373108,2025-06-29,2025-07-18,35.05009788274765,Severe,3,False,97.66,99.57,7,1,3,2,1
95332230.0,118.1949041,27.56726697,118.17498779296875,27.574996948242188,6,2025-08-12,2025-09-17,37,-2.39896559715271,-0.5497655868530273,2025-09-03,2025-09-17,58.648909509181976,Extreme,4,False,92.11,98.44,7,1,3,2,1
